Товар,Единица_измерения,Количество_в_упаковке,Группа_товаров,Количество,Цена,Предоплата,Продавец,Город,Банк,Сумма
Гречка,Мешок,50,Крупы,50,0.0,0.0,Успех,Иркутск,Богатырский,0.0
"Конфеты ""Ананасные""",Коробка,"0,3",Кондитерские изделия,269,0.0,0.0,Успех,Иркутск,Богатырский,0.0
"Конфеты ""Асорти""",Коробка,"0,4",Кондитерские изделия,223,0.0,0.0,Успех,Иркутск,Богатырский,0.0
"Конфеты ""Весна""",Коробка,"0,5",Кондитерские изделия,13,0.0,0.0,Успех,Иркутск,Богатырский,0.0
Овсянка,Мешок,20,Крупы,14,0.0,0.0,Успех,Иркутск,Богатырский,0.0
Пшено,Мешок,50,Крупы,49,0.0,0.0,Успех,Иркутск,Богатырский,0.0
Рис,Мешок,50,Крупы,19,0.0,0.0,Успех,Иркутск,Богатырский,0.0
Сигареты Fine Line,Блок,"0,2",Табачные изделия,35,0.0,0.0,Успех,Иркутск,Богатырский,0.0
Сигареты LM,Блок,"0,2",Табачные изделия,15,0.0,0.0,Успех,Иркутск,Богатырский,0.0
"Конфеты ""Асорти""",Коробка,"0,4",Кондитерские изделия,37,0.0,0.0,Успех,Иркутск,Богатырский,0.0
"Конфеты ""Весна""",Коробка,"0,5",Кондитерские изделия,10,0.0,0.0,Успех,Иркутск,Богатырский,0.0
Крупа манная,Мешок,50,Крупы,52,0.0,0.0,Успех,Иркутск,Богатырский,0.0
Пшено,Мешок,50,Крупы,12,0.0,0.0,Успех,Иркутск,Богатырский,0.0
Рис,Мешок,50,Крупы,9,0.0,0.0,Успех,Иркутск,Богатырский,0.0
Сигареты Fine Line,Блок,"0,2",Табачные изделия,16,0.0,0.0,Успех,Иркутск,Богатырский,0.0
Сигареты MarlBoro,Блок,"0,2",Табачные изделия,21,0.0,0.0,Успех,Иркутск,Богатырский,0.0
"Конфеты ""Ананасные""",Коробка,"0,3",Кондитерские изделия,5,0.0,0.0,Успех,Иркутск,Богатырский,0.0
"Конфеты ""Асорти""",Коробка,"0,4",Кондитерские изделия,7,0.0,0.0,Успех,Иркутск,Богатырский,0.0
"Конфеты ""Весна""",Коробка,"0,5",Кондитерские изделия,62,0.0,0.0,Успех,Иркутск,Богатырский,0.0
"Конфеты ""Визит""",Коробка,"0,6",Кондитерские изделия,116,0.0,0.0,Успех,Иркутск,Богатырский,0.0
Крупа манная,Мешок,50,Крупы,129,0.0,0.0,Успех,Иркутск,Богатырский,0.0
Овсянка,Мешок,20,Крупы,94,450.0,0.0,Успех,Иркутск,Богатырский,42300.0
Рис,Мешок,50,Крупы,108,0.0,0.0,Успех,Иркутск,Богатырский,0.0
