Товар,Продавец,Всего_количество,Общая_сумма,Число_продаж
"Конфеты ""Весна""",Тор,728,0.0,7
"Конфеты ""Визит""",Единство,703,0.0,5
Пшено,Успех,690,0.0,6
"Конфеты ""Асорти""",Успех,690,0.0,7
Рис,Геракл,657,0.0,6
Сигареты LM,Геракл,589,0.0,5
Сигареты Петр 1,Ромашка,585,0.0,5
"Конфеты ""Визит""",Геракл,571,0.0,10
Крупа перловая,Вест,565,0.0,6
Крупа перловая,СибАтом,530,0.0,5
Пшено,Геракл,530,0.0,5
Гречка,Геракл,505,0.0,7
Овсянка,Вест,483,0.0,8
Сигареты MarlBoro,Гермес,481,0.0,8
"Конфеты ""Ананасные""",Успех,460,0.0,7
"Конфеты ""Весна""",Норд,452,4674.0,4
Пшено,Фокус,447,0.0,7
Сигареты LM,Вест,435,0.0,7
Гречка,Норд,432,0.0,5
"Конфеты ""Весна""",Вест,429,0.0,6
Рис,Гермес,427,0.0,9
Пшено,Вест,409,0.0,7
Гречка,Гермес,405,0.0,7
Сигареты MarlBoro,Вест,401,0.0,9
Сигареты MarlBoro,Геракл,399,0.0,7
Сигареты Fine Line,Геракл,397,0.0,8
Сигареты LM,Успех,388,0.0,4
Крупа манная,Геракл,383,0.0,7
Сигареты Петр 1,Норд,353,0.0,5
Овсянка,Гермес,342,0.0,6
Сигареты MarlBoro,Ромашка,341,0.0,5
Сигареты Fine Line,Ромашка,335,0.0,4
"Конфеты ""Асорти""",Гермес,322,0.0,7
"Конфеты ""Асорти""",Тор,320,0.0,6
Гречка,Вест,310,0.0,9
Крупа манная,Тор,299,0.0,5
Сигареты Петр 1,Успех,292,0.0,3
Овсянка,Тор,291,0.0,5
Крупа перловая,Гермес,290,2964.0,8
Рис,Вест,287,0.0,5
Пшено,Единство,286,0.0,4
Овсянка,Ромашка,284,0.0,6
Рис,Тор,282,0.0,8
Сигареты Fine Line,Вест,281,0.0,6
Сигареты Fine Line,Норд,279,0.0,5
"Конфеты ""Ананасные""",Плюс,277,0.0,4
Сигареты Fine Line,СибАтом,277,0.0,6
"Конфеты ""Визит""",Ромашка,276,0.0,5
Гречка,Тор,265,0.0,4
Крупа манная,Гермес,264,0.0,7
Гречка,Ромашка,263,0.0,4
Крупа перловая,Тор,259,19200.0,6
"Конфеты ""Весна""",Ромашка,257,0.0,5
Сигареты MarlBoro,Фокус,254,15300.0,4
Сигареты Петр 1,Плюс,251,0.0,3
"Конфеты ""Ананасные""",Геракл,247,0.0,11
Сигареты Fine Line,Тор,247,0.0,7
Крупа перловая,Геракл,244,0.0,7
"Конфеты ""Асорти""",Фокус,241,0.0,5
"Конфеты ""Весна""",СибАтом,238,0.0,4
Сигареты LM,Единство,237,0.0,3
Крупа перловая,Успех,229,0.0,3
Сигареты Петр 1,Вест,229,0.0,8
Рис,СибАтом,226,0.0,4
Крупа манная,Успех,224,0.0,5
Сигареты Fine Line,Фокус,219,0.0,4
"Конфеты ""Визит""",Вест,219,0.0,7
Крупа манная,Норд,216,0.0,5
Рис,Единство,213,0.0,4
Сигареты Петр 1,Геракл,212,0.0,6
Крупа перловая,Фокус,212,0.0,4
Пшено,Норд,211,0.0,4
"Конфеты ""Весна""",Единство,210,0.0,4
Пшено,Тор,203,0.0,7
"Конфеты ""Весна""",Геракл,199,0.0,6
"Конфеты ""Асорти""",Ромашка,199,0.0,4
Гречка,Плюс,198,0.0,3
"Конфеты ""Визит""",Успех,190,0.0,4
"Конфеты ""Ананасные""",Гермес,189,0.0,7
Сигареты LM,Норд,188,0.0,5
Рис,Успех,186,0.0,5
Овсянка,Фокус,184,0.0,5
Крупа манная,Вест,184,0.0,6
"Конфеты ""Визит""",Норд,184,0.0,5
"Конфеты ""Ананасные""",Вест,183,0.0,6
Овсянка,Успех,182,42300.0,6
Сигареты Fine Line,Гермес,182,0.0,6
Овсянка,Норд,181,0.0,3
"Конфеты ""Асорти""",Геракл,179,0.0,6
Сигареты MarlBoro,Единство,175,0.0,4
Сигареты LM,Гермес,172,0.0,8
Сигареты MarlBoro,Норд,170,0.0,5
Гречка,СибАтом,169,23180.0,4
Овсянка,Геракл,168,0.0,6
Пшено,СибАтом,168,0.0,4
Рис,Норд,166,0.0,3
Сигареты LM,Ромашка,164,0.0,6
Гречка,Фокус,162,0.0,3
Пшено,Гермес,158,0.0,4
Сигареты Петр 1,Гермес,158,0.0,6
"Конфеты ""Асорти""",Единство,156,0.0,5
"Конфеты ""Весна""",Гермес,150,0.0,5
Рис,Плюс,146,0.0,3
Крупа перловая,Единство,144,0.0,2
Сигареты MarlBoro,Плюс,144,0.0,2
Рис,Ромашка,137,0.0,5
Сигареты LM,Фокус,134,0.0,4
Сигареты Fine Line,Плюс,134,0.0,3
"Конфеты ""Визит""",Гермес,131,0.0,6
"Конфеты ""Асорти""",Вест,128,0.0,6
Крупа манная,СибАтом,125,5700.0,5
"Конфеты ""Асорти""",СибАтом,121,0.0,5
"Конфеты ""Ананасные""",Ромашка,119,0.0,6
"Конфеты ""Ананасные""",Единство,116,0.0,3
Пшено,Ромашка,115,0.0,5
Крупа манная,Единство,113,0.0,4
Сигареты MarlBoro,СибАтом,108,0.0,6
"Конфеты ""Асорти""",Плюс,108,0.0,3
"Конфеты ""Ананасные""",Тор,107,0.0,4
Крупа манная,Фокус,106,0.0,5
"Конфеты ""Весна""",Фокус,105,0.0,2
"Конфеты ""Визит""",Фокус,104,0.0,6
"Конфеты ""Весна""",Успех,103,0.0,4
Сигареты MarlBoro,Успех,99,0.0,4
Сигареты LM,Тор,97,3900.0,4
Овсянка,Плюс,94,0.0,2
"Конфеты ""Визит""",СибАтом,93,0.0,4
Крупа манная,Ромашка,91,0.0,5
