Товар,Единица_измерения,Количество_в_упаковке,Группа_товаров,Количество,Цена,Предоплата,Продавец,Город,Банк,Сумма
Гречка,Мешок,50,Крупы,9,0.0,0.0,Вест,Шелехов,Универсал,0.0
Гречка,Мешок,50,Крупы,36,0.0,0.0,Вест,Шелехов,Универсал,0.0
Гречка,Мешок,50,Крупы,18,0.0,0.0,Вест,Шелехов,Универсал,0.0
Гречка,Мешок,50,Крупы,17,0.0,0.0,Вест,Шелехов,Универсал,0.0
Гречка,Мешок,50,Крупы,26,0.0,0.0,Вест,Шелехов,Универсал,0.0
Гречка,Мешок,50,Крупы,8,0.0,1.0,Вест,Шелехов,Универсал,0.0
Гречка,Мешок,50,Крупы,80,0.0,0.0,Вест,Шелехов,Универсал,0.0
Гречка,Мешок,50,Крупы,19,0.0,0.0,Вест,Шелехов,Универсал,0.0
Гречка,Мешок,50,Крупы,97,0.0,0.0,Вест,Шелехов,Универсал,0.0
Гречка,Мешок,50,Крупы,41,0.0,0.0,Геракл,Иркутск,Универсал,0.0
Гречка,Мешок,50,Крупы,19,0.0,0.0,Геракл,Иркутск,Универсал,0.0
Гречка,Мешок,50,Крупы,11,0.0,0.0,Геракл,Иркутск,Универсал,0.0
Гречка,Мешок,50,Крупы,54,0.0,0.0,Геракл,Иркутск,Универсал,0.0
Гречка,Мешок,50,Крупы,7,0.0,1.0,Геракл,Иркутск,Универсал,0.0
Гречка,Мешок,50,Крупы,276,0.0,0.0,Геракл,Иркутск,Универсал,0.0
Гречка,Мешок,50,Крупы,97,0.0,0.0,Геракл,Иркутск,Универсал,0.0
Гречка,Мешок,50,Крупы,42,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Гречка,Мешок,50,Крупы,21,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Гречка,Мешок,50,Крупы,22,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Гречка,Мешок,50,Крупы,16,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Гречка,Мешок,50,Крупы,13,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Гречка,Мешок,50,Крупы,23,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Гречка,Мешок,50,Крупы,268,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Гречка,Мешок,50,Крупы,23,0.0,0.0,Единство,Ангарск,Надежный,0.0
Гречка,Мешок,50,Крупы,9,0.0,0.0,Единство,Ангарск,Надежный,0.0
Гречка,Мешок,50,Крупы,9,0.0,0.0,Норд,Иркутск,Универсал,0.0
Гречка,Мешок,50,Крупы,14,0.0,0.0,Норд,Иркутск,Универсал,0.0
Гречка,Мешок,50,Крупы,86,0.0,0.0,Норд,Иркутск,Универсал,0.0
Гречка,Мешок,50,Крупы,237,0.0,0.0,Норд,Иркутск,Универсал,0.0
