Товар,Единица_измерения,Количество_в_упаковке,Группа_товаров,Количество,Цена,Предоплата,Продавец,Город,Банк,Сумма
Овсянка,Мешок,20,Крупы,94,450.0,0.0,Успех,Иркутск,Богатырский,42300.0
Гречка,Мешок,50,Крупы,61,380.0,0.0,СибАтом,Ангарск,Надежный,23180.0
Крупа перловая,Мешок,50,Крупы,64,300.0,0.0,Тор,Иркутск,Универсал,19200.0
Сигареты MarlBoro,Блок,"0,2",Табачные изделия,85,180.0,0.0,Фокус,Слюдянка,Надежный,15300.0
Крупа манная,Мешок,50,Крупы,15,380.0,0.0,СибАтом,Ангарск,Надежный,5700.0
"Конфеты ""Весна""",Коробка,"0,5",Кондитерские изделия,246,19.0,0.0,Норд,Иркутск,Универсал,4674.0
Сигареты LM,Блок,"0,2",Табачные изделия,50,78.0,0.0,Тор,Иркутск,Универсал,3900.0
Сигареты LM,Блок,"0,2",Табачные изделия,23,132.0,0.0,СибАтом,Ангарск,Надежный,3036.0
Крупа перловая,Мешок,50,Крупы,13,228.0,0.0,Гермес,Ангарск,Богатырский,2964.0
"Конфеты ""Весна""",Коробка,"0,5",Кондитерские изделия,17,22.0,1.0,Плюс,Ангарск,Надежный,374.0
