Товар;Единица измерения;Вес ЕдИзм(Кг);Группа товаров;Количество;Цена;Предоплата;Продавец;Город;Банк
Гречка;Мешок;50;Крупы;50;388,75;0,7;Успех;Иркутск;Богатырский
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;269;56,16;0,7;Успех;Иркутск;Богатырский
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;223;21,79;0,7;Успех;Иркутск;Богатырский
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;13;26,41;0,7;Успех;Иркутск;Богатырский
Овсянка;Мешок;20;Крупы;14;498,82;0,7;Успех;Иркутск;Богатырский
Пшено;Мешок;50;Крупы;49;156,55;0,7;Успех;Иркутск;Богатырский
Рис;Мешок;50;Крупы;19;472,47;0,7;Успех;Иркутск;Богатырский
Сигареты Fine Line;Блок;0,2;Табачные изделия;35;80,06;0,7;Успех;Иркутск;Богатырский
Сигареты LM;Блок;0,2;Табачные изделия;15;115,23;0,7;Успех;Иркутск;Богатырский
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;37;24,42;0,5;Успех;Иркутск;Богатырский
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;10;21,22;0,5;Успех;Иркутск;Богатырский
Крупа манная;Мешок;50;Крупы;52;461,78;0,5;Успех;Иркутск;Богатырский
Пшено;Мешок;50;Крупы;12;196,68;0,5;Успех;Иркутск;Богатырский
Рис;Мешок;50;Крупы;9;204,59;0,5;Успех;Иркутск;Богатырский
Сигареты Fine Line;Блок;0,2;Табачные изделия;16;130,35;0,5;Успех;Иркутск;Богатырский
Сигареты MarlBoro;Блок;0,2;Табачные изделия;21;145,53;0,5;Успех;Иркутск;Богатырский
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;5;59,29;0,9;Успех;Иркутск;Богатырский
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;7;34,97;0,9;Успех;Иркутск;Богатырский
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;62;13,75;0,9;Успех;Иркутск;Богатырский
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;116;49,15;0,9;Успех;Иркутск;Богатырский
Крупа манная;Мешок;50;Крупы;129;489,73;0,9;Успех;Иркутск;Богатырский
Овсянка;Мешок;20;Крупы;94;450;0,9;Успех;Иркутск;Богатырский
Рис;Мешок;50;Крупы;108;362,7;0,9;Успех;Иркутск;Богатырский
Сигареты Fine Line;Блок;0,2;Табачные изделия;14;159,08;0,9;Успех;Иркутск;Богатырский
Сигареты MarlBoro;Блок;0,2;Табачные изделия;38;86,35;0,9;Успех;Иркутск;Богатырский
Сигареты Петр 1;Блок;0,2;Табачные изделия;52;71,98;0,9;Успех;Иркутск;Богатырский
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;19;49,38;0,3;Успех;Иркутск;Богатырский
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;23;41,71;0,3;Успех;Иркутск;Богатырский
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;41;95,82;0,3;Успех;Иркутск;Богатырский
Крупа манная;Мешок;50;Крупы;22;220,96;0,3;Успех;Иркутск;Богатырский
Крупа перловая;Мешок;50;Крупы;162;291,37;0,3;Успех;Иркутск;Богатырский
Овсянка;Мешок;20;Крупы;36;189,62;0,3;Успех;Иркутск;Богатырский
Сигареты Fine Line;Блок;0,2;Табачные изделия;9;195,47;0,3;Успех;Иркутск;Богатырский
Сигареты LM;Блок;0,2;Табачные изделия;180;177,62;0,3;Успех;Иркутск;Богатырский
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;114;27,36;0,7;Успех;Иркутск;Богатырский
Крупа перловая;Мешок;50;Крупы;45;335,26;0,7;Успех;Иркутск;Богатырский
Пшено;Мешок;50;Крупы;40;342,44;0,7;Успех;Иркутск;Богатырский
Рис;Мешок;50;Крупы;30;428,28;0,7;Успех;Иркутск;Богатырский
Сигареты LM;Блок;0,2;Табачные изделия;128;117,33;0,7;Успех;Иркутск;Богатырский
Сигареты MarlBoro;Блок;0,2;Табачные изделия;28;206,78;0,7;Успех;Иркутск;Богатырский
Сигареты Петр 1;Блок;0,2;Табачные изделия;227;56,66;0,7;Успех;Иркутск;Богатырский
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;25;32,12;0,8;Успех;Иркутск;Богатырский
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;61;24,55;0,8;Успех;Иркутск;Богатырский
Крупа манная;Мешок;50;Крупы;11;389,45;0,8;Успех;Иркутск;Богатырский
Овсянка;Мешок;20;Крупы;15;241,4;0,8;Успех;Иркутск;Богатырский
Пшено;Мешок;50;Крупы;175;199,79;0,8;Успех;Иркутск;Богатырский
Гречка;Мешок;50;Крупы;10;357,82;0,2;Успех;Иркутск;Богатырский
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;18;43,22;0,2;Успех;Иркутск;Богатырский
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;300;23,27;0,2;Успех;Иркутск;Богатырский
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;18;26,16;0,2;Успех;Иркутск;Богатырский
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;11;94,16;0,2;Успех;Иркутск;Богатырский
Крупа манная;Мешок;50;Крупы;10;579,73;0,2;Успех;Иркутск;Богатырский
Овсянка;Мешок;20;Крупы;17;388,97;0,2;Успех;Иркутск;Богатырский
Пшено;Мешок;50;Крупы;193;305,94;0,2;Успех;Иркутск;Богатырский
Рис;Мешок;50;Крупы;20;352,34;0,2;Успех;Иркутск;Богатырский
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;10;26,49;0,4;Успех;Иркутск;Богатырский
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;39;30,17;0,4;Успех;Иркутск;Богатырский
Крупа перловая;Мешок;50;Крупы;22;362,14;0,4;Успех;Иркутск;Богатырский
Пшено;Мешок;50;Крупы;221;187,88;0,4;Успех;Иркутск;Богатырский
Сигареты LM;Блок;0,2;Табачные изделия;65;63,95;0,4;Успех;Иркутск;Богатырский
Сигареты MarlBoro;Блок;0,2;Табачные изделия;12;79,99;0,4;Успех;Иркутск;Богатырский
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;22;86,46;0,5;Успех;Иркутск;Богатырский
Овсянка;Мешок;20;Крупы;6;323,88;0,5;Успех;Иркутск;Богатырский
Сигареты Fine Line;Блок;0,2;Табачные изделия;7;140,96;0,5;Успех;Иркутск;Богатырский
Сигареты Петр 1;Блок;0,2;Табачные изделия;13;69,55;0,5;Успех;Иркутск;Богатырский
Гречка;Мешок;50;Крупы;61;380;0,7;СибАтом;Ангарск;Надежный
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;20;48,94;0,7;СибАтом;Ангарск;Надежный
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;161;10,05;0,7;СибАтом;Ангарск;Надежный
Крупа манная;Мешок;50;Крупы;43;336,85;0,7;СибАтом;Ангарск;Надежный
Крупа перловая;Мешок;50;Крупы;41;283,48;0,7;СибАтом;Ангарск;Надежный
Овсянка;Мешок;20;Крупы;22;238,44;0,7;СибАтом;Ангарск;Надежный
Пшено;Мешок;50;Крупы;38;247,68;0,7;СибАтом;Ангарск;Надежный
Сигареты Fine Line;Блок;0,2;Табачные изделия;14;166,11;0,7;СибАтом;Ангарск;Надежный
Сигареты MarlBoro;Блок;0,2;Табачные изделия;18;202,49;0,7;СибАтом;Ангарск;Надежный
Сигареты Петр 1;Блок;0,2;Табачные изделия;23;39,17;0,7;СибАтом;Ангарск;Надежный
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;22;65,43;1;СибАтом;Ангарск;Надежный
Крупа перловая;Мешок;50;Крупы;68;346,11;1;СибАтом;Ангарск;Надежный
Рис;Мешок;50;Крупы;28;208,04;1;СибАтом;Ангарск;Надежный
Сигареты MarlBoro;Блок;0,2;Табачные изделия;12;187,4;1;СибАтом;Ангарск;Надежный
Гречка;Мешок;50;Крупы;23;397,18;0,9;СибАтом;Ангарск;Надежный
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;9;35,08;0,9;СибАтом;Ангарск;Надежный
